id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,5622,316,344,89,86,387.5,412.5,1.0000288486480713,0.9892054796218872,0,0,800,800
1,2400,62,260,59,52,87.5,262.5,0.9962375164031982,0.9892295002937317,0,0,800,800
2,10475,0,367,110,127,62.5,387.5,0.9948989748954773,0.9885122776031494,0,0,800,800
3,57557,483,0,316,239,612.5,37.5,0.9924931526184082,0.9787765741348267,0,0,800,800
4,36565,414,423,355,215,737.5,512.5,0.9874752759933472,0.9662367105484009,0,0,800,800
5,698,72,522,28,30,87.5,537.5,0.9859246611595154,0.9828326106071472,0,0,800,800
6,947,778,399,21,65,787.5,437.5,0.9845095276832581,0.9884696006774902,0,0,800,800
7,7367,119,0,148,80,237.5,37.5,0.9824554920196533,0.9817007780075073,0,0,800,800
8,2576,322,132,64,72,362.5,187.5,0.9823711514472961,0.9796075224876404,0,0,800,800
9,1321,35,85,30,57,37.5,112.5,0.9803717136383057,0.9879699349403381,0,0,800,800
10,15196,0,260,121,234,62.5,437.5,0.9785566329956055,0.9742840528488159,0,0,800,800
11,2045,135,769,104,30,212.5,787.5,0.9778087139129639,0.9863879680633545,0,0,800,800
12,6389,307,447,85,109,337.5,512.5,0.9763054847717285,0.986616849899292,0,0,800,800
13,1461,448,368,55,53,462.5,387.5,0.975671648979187,0.9810426831245422,0,0,800,800
14,6562,494,730,218,69,612.5,787.5,0.9749177694320679,0.9790283441543579,0,0,800,800
15,2158,0,289,58,51,37.5,312.5,0.9743362069129944,0.9721968770027161,0,0,800,800
16,8115,389,163,125,100,462.5,162.5,0.9742132425308228,0.9744463562965393,0,0,800,800
17,7037,184,441,115,101,262.5,487.5,0.9736823439598083,0.9841941595077515,0,0,800,800
18,15901,174,151,149,157,287.5,187.5,0.9704909324645996,0.9786412715911865,0,0,800,800
19,4822,0,260,121,81,37.5,337.5,0.9701658487319946,0.9732379913330078,0,0,800,800
20,5538,494,730,142,69,587.5,762.5,0.9679353833198547,0.9861834049224854,0,0,800,800
21,487,114,756,19,30,112.5,762.5,0.9659806489944458,0.981670081615448,0,0,800,800
22,19989,70,595,257,132,237.5,662.5,0.9656023979187012,0.9764624238014221,0,0,800,800
23,58152,388,0,411,632,787.5,162.5,0.964946985244751,0.9616175293922424,0,0,800,800
24,2784,271,25,75,64,287.5,62.5,0.9646996259689331,0.9755405783653259,0,0,800,800
25,10920,323,133,191,130,487.5,162.5,0.9626175165176392,0.972009003162384,0,0,800,800
26,998,548,634,54,26,562.5,637.5,0.9617582559585571,0.9713438749313354,0,0,800,800
27,1594,172,769,67,30,187.5,787.5,0.9605638384819031,0.9850560426712036,0,0,800,800
28,1423,571,388,39,41,587.5,412.5,0.9587510824203491,0.9784422516822815,0,0,800,800
29,1139,282,546,49,51,312.5,562.5,0.9572608470916748,0.9723661541938782,0,0,800,800
30,7135,316,344,187,86,387.5,387.5,0.955525279045105,0.9586517214775085,0,0,800,800
31,1799,640,715,58,53,662.5,737.5,0.9542312622070312,0.9715536236763,0,0,800,800
32,6288,284,714,105,85,337.5,762.5,0.953946590423584,0.9502255320549011,0,0,800,800
33,364,100,586,17,23,112.5,587.5,0.9512425661087036,0.9863387942314148,0,0,800,800
34,1326,761,48,38,106,787.5,137.5,0.9505404829978943,0.9710467457771301,0,0,800,800
35,260,424,137,22,16,437.5,137.5,0.9499667882919312,0.992337167263031,0,0,800,800
36,3803,739,0,60,151,787.5,12.5,0.9477882385253906,0.9537394046783447,0,0,800,800
37,1421,40,698,60,32,87.5,712.5,0.9475470781326294,0.9811715483665466,0,0,800,800
38,327,555,699,23,23,562.5,712.5,0.9470831751823425,0.9786585569381714,0,0,800,800
39,718,5,590,45,26,37.5,612.5,0.9464836716651917,0.9779614210128784,0,0,800,800
40,1288,761,101,38,53,787.5,112.5,0.9458390474319458,0.9808135032653809,0,0,800,800
41,235,208,403,12,24,212.5,412.5,0.9455486536026001,0.9873417615890503,0,0,800,800
42,10337,119,0,227,86,312.5,37.5,0.9450509548187256,0.9639905095100403,0,0,800,800
43,382,535,505,34,15,537.5,512.5,0.944480299949646,0.9768041372299194,0,0,800,800
44,691,763,46,36,26,787.5,62.5,0.9442342519760132,0.9687055349349976,0,0,800,800
45,5382,119,0,136,58,162.5,12.5,0.9440308213233948,0.9721713662147522,0,0,800,800
46,1009,640,780,72,19,662.5,787.5,0.9437621831893921,0.9764705896377563,0,0,800,800
47,707,561,667,45,24,587.5,687.5,0.9434703588485718,0.9789621233940125,0,0,800,800
48,236,179,536,19,15,187.5,537.5,0.9431546926498413,0.9789915680885315,0,0,800,800
49,781,548,27,37,26,562.5,37.5,0.9429337382316589,0.961298406124115,0,0,800,800
