id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,522749,0,0,799,799,562.5,12.5,1.0143452882766724,0.9561335444450378,0,0,800,800
1,4337,574,266,79,65,637.5,287.5,1.0033057928085327,0.9926470518112183,0,0,800,800
2,4789,99,694,85,76,112.5,712.5,0.9976442456245422,0.9898171424865723,0,0,800,800
3,2704,762,293,37,106,787.5,362.5,0.9951372146606445,0.9907953143119812,0,0,800,800
4,19445,0,292,201,147,62.5,412.5,0.993796706199646,0.9889491200447083,0,0,800,800
5,5517,189,0,87,92,262.5,62.5,0.9931620359420776,0.9822038412094116,0,0,800,800
6,3084,404,162,83,56,487.5,187.5,0.9921222925186157,0.9871134161949158,0,0,800,800
7,5636,660,0,96,77,737.5,12.5,0.9919915199279785,0.9922274947166443,0,0,800,800
8,17063,552,543,187,181,662.5,712.5,0.991584062576294,0.9797680974006653,0,0,800,800
9,1907,315,19,54,46,337.5,62.5,0.9864128232002258,0.9843668341636658,0,0,800,800
10,2400,297,575,59,55,312.5,587.5,0.983091413974762,0.9892250299453735,0,0,800,800
11,1612,566,477,48,40,587.5,487.5,0.9770390391349792,0.9803076982498169,0,0,800,800
12,2679,549,694,71,60,612.5,712.5,0.9748576283454895,0.9826183319091797,0,0,800,800
13,743,536,49,29,30,537.5,62.5,0.9737915396690369,0.9813581705093384,0,0,800,800
14,34989,235,274,230,356,337.5,537.5,0.9731622934341431,0.953574001789093,0,0,800,800
15,2236,322,536,65,55,362.5,562.5,0.9711989760398865,0.9818744659423828,0,0,800,800
16,3560,59,580,90,97,112.5,637.5,0.9699425101280212,0.974266767501831,0,0,800,800
17,7021,574,266,225,132,612.5,312.5,0.9685674905776978,0.9798563122749329,0,0,800,800
18,462,751,779,32,20,762.5,787.5,0.9681437611579895,0.9764453768730164,0,0,800,800
19,16767,606,543,131,180,662.5,637.5,0.9643430709838867,0.9783301949501038,0,0,800,800
20,256,261,261,11,26,262.5,262.5,0.9585561156272888,0.9768339991569519,0,0,800,800
21,1893,156,70,65,86,187.5,137.5,0.9564489126205444,0.9521850943565369,0,0,800,800
22,22997,260,274,205,193,412.5,312.5,0.9545639753341675,0.9667450189590454,0,0,800,800
23,1744,0,11,28,98,12.5,62.5,0.9545336365699768,0.9573512673377991,0,0,800,800
24,912,43,44,47,35,62.5,62.5,0.9542964100837708,0.979347825050354,0,0,800,800
25,1409,143,338,59,47,162.5,362.5,0.9525044560432434,0.9663630127906799,0,0,800,800
26,475,24,59,21,31,37.5,87.5,0.952303409576416,0.9811715483665466,0,0,800,800
27,199,182,780,12,19,187.5,787.5,0.9510359764099121,0.9900497794151306,0,0,800,800
28,261,427,446,17,16,437.5,462.5,0.94935142993927,0.9772727489471436,0,0,800,800
29,290,771,477,19,20,787.5,487.5,0.9490130543708801,0.9897611141204834,0,0,800,800
30,422,245,108,29,23,262.5,112.5,0.9473978281021118,0.98591548204422,0,0,800,800
31,395,721,488,23,23,737.5,512.5,0.9464638829231262,0.9898989796638489,0,0,800,800
32,136,464,725,8,16,462.5,737.5,0.9460929036140442,1.0,0,0,800,800
33,825,168,99,29,57,187.5,137.5,0.9451904892921448,0.9654762148857117,0,0,800,800
34,334,488,478,13,32,487.5,487.5,0.9444437026977539,0.9792899489402771,0,0,800,800
35,854,115,20,49,36,137.5,37.5,0.9437713623046875,0.9644087553024292,0,0,800,800
36,95,486,715,8,11,487.5,712.5,0.9432929158210754,0.9793814420700073,0,0,800,800
37,601,403,391,26,27,412.5,412.5,0.9431803822517395,0.9689542651176453,0,0,800,800
38,521,517,748,25,28,537.5,762.5,0.9422234892845154,0.9734848737716675,0,0,800,800
39,515,234,475,20,31,237.5,487.5,0.9422170519828796,0.9846153855323792,0,0,800,800
40,117,580,430,8,14,587.5,437.5,0.9421331286430359,1.0,0,0,800,800
41,737,127,628,46,34,162.5,637.5,0.9416954517364502,0.9798115491867065,0,0,800,800
42,113,608,433,11,11,612.5,437.5,0.9415777921676636,0.991150438785553,0,0,800,800
43,170,182,671,12,19,187.5,687.5,0.941506028175354,0.9824561476707458,0,0,800,800
44,116,427,503,9,13,437.5,512.5,0.940761148929596,0.9913793206214905,0,0,800,800
45,420,693,113,23,25,712.5,137.5,0.9397706985473633,0.9742388725280762,0,0,800,800
46,576,376,435,33,33,387.5,437.5,0.9392432570457458,0.9610169529914856,0,0,800,800
47,144,455,776,8,19,462.5,787.5,0.9388149380683899,0.9793103337287903,0,0,800,800
48,154,81,134,10,15,87.5,137.5,0.9387961030006409,0.9622641801834106,0,0,800,800
49,120,384,55,7,16,387.5,62.5,0.938600480556488,0.9916666746139526,0,0,800,800
50,106,755,256,8,13,762.5,262.5,0.9384729266166687,0.9814814925193787,0,0,800,800
51,97,201,705,10,9,212.5,712.5,0.9371638298034668,0.9797979593276978,0,0,800,800
52,336,137,481,36,18,162.5,487.5,0.9367494583129883,0.9647058844566345,0,0,800,800
53,87,780,459,8,13,787.5,462.5,0.9365150332450867,0.966292142868042,0,0,800,800
54,439,183,388,22,31,187.5,412.5,0.9362363815307617,0.9796839952468872,0,0,800,800
55,98,455,537,8,13,462.5,537.5,0.9356472492218018,0.9702970385551453,0,0,800,800
56,981,156,70,66,28,212.5,87.5,0.9355455040931702,0.9688442349433899,0,0,800,800
57,89,379,730,7,12,387.5,737.5,0.9353616237640381,0.9888888597488403,0,0,800,800
58,219,411,23,11,23,412.5,37.5,0.9352736473083496,0.9599999785423279,0,0,800,800
