id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,9050,625,77,106,111,712.5,112.5,1.0029329061508179,0.9889108538627625,0,0,800,800
1,5211,665,0,95,98,737.5,37.5,0.9937713146209717,0.9826831817626953,0,0,800,800
2,12113,402,141,120,152,412.5,237.5,0.9884653687477112,0.9888359904289246,0,0,800,800
3,8726,0,383,102,128,62.5,412.5,0.9850298762321472,0.9781253337860107,0,0,800,800
4,11074,0,7,91,159,37.5,62.5,0.9838418960571289,0.9881433844566345,0,0,800,800
5,8110,710,377,89,136,737.5,412.5,0.9821426868438721,0.9878602027893066,0,0,800,800
6,3330,242,770,183,29,387.5,787.5,0.9809857606887817,0.9877538681030273,0,0,800,800
7,18785,0,294,148,216,112.5,312.5,0.9787527322769165,0.9741289019584656,0,0,800,800
8,8119,710,313,89,200,762.5,462.5,0.9778342247009277,0.9864270091056824,0,0,800,800
9,408,631,430,34,14,637.5,437.5,0.9755688309669495,0.9830917716026306,0,0,800,800
10,779,415,746,30,28,437.5,762.5,0.974052369594574,0.9885350465774536,0,0,800,800
11,7514,665,0,134,160,737.5,37.5,0.9738210439682007,0.9733526110649109,0,0,800,800
12,10461,435,386,153,129,537.5,437.5,0.9737022519111633,0.978057324886322,0,0,800,800
13,2034,687,715,50,57,712.5,762.5,0.9726194739341736,0.9805542230606079,0,0,800,800
14,9677,0,294,148,109,37.5,337.5,0.9723628163337708,0.9803520441055298,0,0,800,800
15,518,205,309,23,26,212.5,312.5,0.9716512560844421,0.9903661012649536,0,0,800,800
16,14460,624,0,175,188,637.5,162.5,0.9713362455368042,0.9617231488227844,0,0,800,800
17,540,767,779,32,20,787.5,787.5,0.9709469676017761,0.9871086478233337,0,0,800,800
18,2049,6,653,83,48,87.5,662.5,0.970439076423645,0.977788507938385,0,0,800,800
19,1262,534,513,67,43,562.5,537.5,0.9703049063682556,0.9772012829780579,0,0,800,800
20,1998,0,7,59,45,37.5,37.5,0.9691568613052368,0.97230464220047,0,0,800,800
21,2050,433,189,44,65,437.5,237.5,0.965358316898346,0.9701923131942749,0,0,800,800
22,410,0,777,23,22,12.5,787.5,0.9648987650871277,0.987864077091217,0,0,800,800
23,351,537,703,21,20,537.5,712.5,0.9639641642570496,0.9830508232116699,0,0,800,800
24,615,258,272,14,61,262.5,287.5,0.9627233147621155,0.987034022808075,0,0,800,800
25,1025,299,673,31,43,312.5,687.5,0.9616591334342957,0.9768562912940979,0,0,800,800
26,2604,0,760,79,39,37.5,762.5,0.9606984257698059,0.9568318128585815,0,0,800,800
