id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,5544,438,329,83,102,462.5,362.5,0.9998590350151062,0.9858372211456299,0,0,800,800
1,2261,68,509,44,59,112.5,537.5,0.9966877698898315,0.984161913394928,0,0,800,800
2,58069,473,0,326,249,562.5,87.5,0.9956375360488892,0.9775745868682861,0,0,800,800
3,7930,0,375,90,119,62.5,462.5,0.9933046698570251,0.9880892634391785,0,0,800,800
4,6586,479,758,263,41,587.5,762.5,0.9929306507110596,0.9850925803184509,0,0,800,800
5,786,0,39,20,66,12.5,87.5,0.9897000193595886,0.9835858345031738,0,0,800,800
6,1610,378,305,43,55,387.5,337.5,0.9857171177864075,0.9820766448974609,0,0,800,800
7,2201,771,375,28,116,787.5,387.5,0.9855864644050598,0.9895927309989929,0,0,800,800
8,1428,564,307,50,38,612.5,337.5,0.9852964282035828,0.9867687821388245,0,0,800,800
9,2836,140,760,102,39,237.5,787.5,0.9848646521568298,0.9898210167884827,0,0,800,800
10,46342,194,423,472,223,462.5,487.5,0.9814319610595703,0.9676892757415771,0,0,800,800
11,1723,413,104,61,48,412.5,137.5,0.9808459281921387,0.9833045601844788,0,0,800,800
12,2664,25,91,45,73,37.5,137.5,0.9792086482048035,0.9839910864830017,0,0,800,800
13,4985,270,583,94,72,312.5,587.5,0.9788342118263245,0.98444664478302,0,0,800,800
14,7167,118,0,140,80,212.5,12.5,0.9781208634376526,0.9853022694587708,0,0,800,800
15,927,357,71,33,46,362.5,87.5,0.9751505255699158,0.9850267171859741,0,0,800,800
16,786,0,63,20,42,12.5,62.5,0.9745692610740662,0.9923760890960693,0,0,800,800
17,7196,378,306,143,124,462.5,337.5,0.974540114402771,0.9765335321426392,0,0,800,800
18,2516,746,0,53,131,787.5,12.5,0.9718986749649048,0.9606544375419617,0,0,800,800
19,5234,541,758,178,41,587.5,762.5,0.9686497449874878,0.9756557941436768,0,0,800,800
20,530,476,212,23,27,487.5,212.5,0.9680029153823853,0.994350254535675,0,0,800,800
21,858,762,106,37,27,787.5,112.5,0.9675266146659851,0.9780853390693665,0,0,800,800
22,4392,694,375,105,134,737.5,487.5,0.9659429788589478,0.9617705941200256,0,0,800,800
23,881,284,547,43,40,312.5,562.5,0.9646316170692444,0.9742152690887451,0,0,800,800
24,1831,694,470,61,40,737.5,487.5,0.9642831683158875,0.9778018593788147,0,0,800,800
25,397,112,754,16,28,112.5,762.5,0.9618988633155823,0.9899749159812927,0,0,800,800
26,918,256,340,23,70,262.5,362.5,0.9602066874504089,0.9837837815284729,0,0,800,800
27,365,534,507,38,12,537.5,512.5,0.9581952691078186,0.9811320900917053,0,0,800,800
28,7228,243,120,128,81,312.5,137.5,0.95637446641922,0.9638684988021851,0,0,800,800
29,1203,0,37,20,130,12.5,87.5,0.9559592008590698,0.9818332195281982,0,0,800,800
30,393,551,696,28,28,562.5,712.5,0.9542750120162964,0.9924050569534302,0,0,800,800
31,580,84,583,34,27,87.5,587.5,0.9532334804534912,0.9862778782844543,0,0,800,800
32,1876,361,474,49,47,387.5,512.5,0.9517151713371277,0.9768177270889282,0,0,800,800
33,515,551,21,23,33,562.5,37.5,0.9517012238502502,0.9635316729545593,0,0,800,800
34,1048,549,640,60,23,562.5,662.5,0.9511157274246216,0.9754948019981384,0,0,800,800
35,1056,479,776,57,23,512.5,787.5,0.9498375058174133,0.9766136407852173,0,0,800,800
36,24670,194,423,294,134,412.5,537.5,0.9497097134590149,0.9754016399383545,0,0,800,800
37,409,333,723,20,32,337.5,737.5,0.9494702816009521,0.9902912378311157,0,0,800,800
38,240,527,729,17,22,537.5,737.5,0.9492207765579224,0.9673469662666321,0,0,800,800
39,171,104,106,11,16,112.5,112.5,0.9468355178833008,0.9883720874786377,0,0,800,800
40,278,587,674,18,18,587.5,687.5,0.9458388090133667,0.9683098793029785,0,0,800,800
41,700,0,587,45,20,12.5,587.5,0.9453374147415161,0.9789029359817505,0,0,800,800
42,18364,183,120,188,173,262.5,137.5,0.9447453022003174,0.9764863848686218,0,0,800,800
43,3842,0,38,70,128,37.5,112.5,0.9439204931259155,0.964130163192749,0,0,800,800
44,771,411,721,72,27,437.5,737.5,0.943342924118042,0.9819355010986328,0,0,800,800
