id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,2464,528,0,79,40,562.5,37.5,0.9939934015274048,0.9855014085769653,0,0,800,800
1,28874,56,578,197,221,187.5,612.5,0.9871770143508911,0.9800458550453186,0,0,800,800
2,4803,437,13,97,92,512.5,37.5,0.9871694445610046,0.9796212315559387,0,0,800,800
3,14263,152,355,161,169,262.5,512.5,0.9838055372238159,0.9768457412719727,0,0,800,800
4,651,409,762,25,30,412.5,762.5,0.9829054474830627,0.9938650131225586,0,0,800,800
5,1792,524,765,75,34,537.5,787.5,0.9806221127510071,0.9916712641716003,0,0,800,800
6,30434,0,0,139,311,12.5,12.5,0.9775038957595825,0.9725077152252197,0,0,800,800
7,1009,653,497,30,39,662.5,512.5,0.9773820042610168,0.9881305694580078,0,0,800,800
8,314,778,0,21,17,787.5,12.5,0.9721426963806152,0.9842271208763123,0,0,800,800
9,16078,117,0,202,139,137.5,37.5,0.9718906283378601,0.9752950072288513,0,0,800,800
10,8668,682,268,114,112,712.5,287.5,0.968528687953949,0.9739180207252502,0,0,800,800
11,519,293,107,27,25,312.5,112.5,0.9657544493675232,0.9658443927764893,0,0,800,800
12,483,28,546,29,20,37.5,562.5,0.9657353758811951,0.9836400747299194,0,0,800,800
13,6931,19,45,91,109,87.5,137.5,0.9652118682861328,0.9697529077529907,0,0,800,800
14,7384,436,0,171,105,487.5,37.5,0.9629615545272827,0.976180911064148,0,0,800,800
15,936,571,364,51,33,612.5,387.5,0.9596356749534607,0.9840933084487915,0,0,800,800
16,535,240,616,24,32,262.5,637.5,0.9594963192939758,0.9778597950935364,0,0,800,800
17,340,598,605,20,20,612.5,612.5,0.9587734341621399,0.9795321822166443,0,0,800,800
18,739,727,724,32,29,737.5,737.5,0.9581828713417053,0.9799196720123291,0,0,800,800
19,29769,356,388,267,219,587.5,487.5,0.9567546844482422,0.9637437462806702,0,0,800,800
20,713,10,589,39,27,12.5,612.5,0.9565026164054871,0.980555534362793,0,0,800,800
21,3998,242,444,70,74,262.5,462.5,0.9554077982902527,0.9732871651649475,0,0,800,800
22,447,722,482,25,29,737.5,487.5,0.9548609852790833,0.9801762104034424,0,0,800,800
23,1115,754,522,45,46,787.5,562.5,0.953379213809967,0.9690265655517578,0,0,800,800
24,1022,640,649,44,38,662.5,662.5,0.9506567120552063,0.9692307710647583,0,0,800,800
25,242,521,672,18,16,537.5,687.5,0.9495590329170227,0.9836734533309937,0,0,800,800
26,793,742,403,45,28,762.5,412.5,0.948050320148468,0.9725685715675354,0,0,800,800
27,4884,730,5,69,117,762.5,12.5,0.9469984769821167,0.9673057794570923,0,0,800,800
28,337,468,625,19,28,487.5,637.5,0.9460276365280151,0.9735293984413147,0,0,800,800
29,868,580,659,48,46,612.5,687.5,0.9459491968154907,0.9693877696990967,0,0,800,800
30,297,33,374,27,13,37.5,387.5,0.9459360837936401,0.9899665713310242,0,0,800,800
31,46493,0,0,318,312,12.5,37.5,0.9458963871002197,0.9585384130477905,0,0,800,800
32,693,457,680,46,28,462.5,687.5,0.9457204341888428,0.9743954539299011,0,0,800,800
33,137,151,136,12,14,162.5,137.5,0.9454622268676758,0.9642857313156128,0,0,800,800
34,427,688,755,39,15,712.5,762.5,0.9443157315254211,0.9769052863121033,0,0,800,800
35,213,5,571,14,18,12.5,587.5,0.9428057074546814,0.9769585132598877,0,0,800,800
36,250,308,392,14,24,312.5,412.5,0.9401077628135681,0.96484375,0,0,800,800
37,1913,104,148,38,66,137.5,212.5,0.9394532442092896,0.9626598358154297,0,0,800,800
38,212,228,296,14,20,237.5,312.5,0.9378836154937744,0.9768518805503845,0,0,800,800
39,360,307,456,12,31,312.5,487.5,0.9373358488082886,0.9752066135406494,0,0,800,800
40,347,640,755,31,15,662.5,762.5,0.9372760057449341,0.982807993888855,0,0,800,800
41,126,277,83,17,8,287.5,87.5,0.9348196983337402,0.9765625,0,0,800,800
42,198,729,0,18,16,737.5,12.5,0.9330837726593018,0.9800994992256165,0,0,800,800
43,96,636,502,10,10,637.5,512.5,0.9315406084060669,0.9795918464660645,0,0,800,800
44,281,738,616,14,25,737.5,637.5,0.9313568472862244,0.978723406791687,0,0,800,800
45,97,311,279,8,11,312.5,287.5,0.9311130046844482,0.9896907210350037,0,0,800,800
46,349,337,522,13,33,337.5,537.5,0.9307781457901001,0.9828571677207947,0,0,800,800
47,100,255,578,9,11,262.5,587.5,0.9290317296981812,1.0,0,0,800,800
48,1313,0,553,50,63,37.5,612.5,0.9286414384841919,0.9553571343421936,0,0,800,800
49,251,68,786,24,13,87.5,787.5,0.9282777905464172,0.9920634627342224,0,0,800,800
50,830,429,335,52,47,462.5,337.5,0.9277079701423645,0.9595237970352173,0,0,800,800
51,435,227,421,35,24,262.5,437.5,0.9275122880935669,0.9659863710403442,0,0,800,800
52,336,327,746,25,15,337.5,762.5,0.9274221062660217,0.967930018901825,0,0,800,800
53,1126,640,649,45,55,662.5,687.5,0.9263833165168762,0.9575021862983704,0,0,800,800
54,491,433,612,33,26,437.5,637.5,0.9253629446029663,0.9675456285476685,0,0,800,800
55,73,136,559,9,7,137.5,562.5,0.9247640371322632,0.9733333587646484,0,0,800,800
56,441,578,720,31,18,587.5,737.5,0.9246322512626648,0.9775280952453613,0,0,800,800
57,54,405,408,7,8,412.5,412.5,0.9238806962966919,1.0,0,0,800,800
58,544,429,341,27,41,437.5,362.5,0.9236306548118591,0.9764065146446228,0,0,800,800
59,1029,730,249,49,37,737.5,262.5,0.9235579967498779,0.958930253982544,0,0,800,800
60,374,774,511,25,25,787.5,512.5,0.922854483127594,0.9788359999656677,0,0,800,800
61,162,155,225,15,12,162.5,237.5,0.9227925539016724,0.9698795080184937,0,0,800,800
62,84,11,634,8,11,12.5,637.5,0.9207103252410889,1.0,0,0,800,800
63,76,288,335,9,9,287.5,337.5,0.9190865755081177,0.9743589758872986,0,0,800,800
64,716,578,715,59,23,587.5,737.5,0.9190318584442139,0.960110068321228,0,0,800,800
65,1077,777,315,22,76,787.5,362.5,0.9189984202384949,0.9634034633636475,0,0,800,800
66,550,603,672,25,33,612.5,687.5,0.9170494675636292,0.9659498333930969,0,0,800,800
67,36184,614,8,185,372,687.5,187.5,0.9154055118560791,0.9585670828819275,0,0,800,800
68,10215,613,126,114,139,687.5,187.5,0.9150148034095764,0.9552053213119507,0,0,800,800
69,152,184,311,17,11,187.5,312.5,0.9142507910728455,0.9677419066429138,0,0,800,800
70,156,780,468,9,18,787.5,487.5,0.9141680598258972,0.9683544039726257,0,0,800,800
71,112,179,159,13,10,187.5,162.5,0.913487434387207,0.9732142686843872,0,0,800,800
72,75,5,512,10,7,12.5,512.5,0.9116525053977966,0.9736841917037964,0,0,800,800
73,206,779,690,18,20,787.5,712.5,0.91105717420578,0.9710144996643066,0,0,800,800
74,208,784,775,15,20,787.5,787.5,0.9098876118659973,0.9665071964263916,0,0,800,800
75,133,161,110,11,13,162.5,112.5,0.909765362739563,0.970370352268219,0,0,800,800
76,94,388,158,12,9,387.5,162.5,0.9095805287361145,0.9591836929321289,0,0,800,800
77,97,203,302,10,9,212.5,312.5,0.9077323079109192,0.9897959232330322,0,0,800,800
78,334,457,688,18,20,462.5,687.5,0.9036780595779419,0.9587020874023438,0,0,800,800
79,121,314,88,14,9,312.5,87.5,0.9014049172401428,0.9599999785423279,0,0,800,800
80,251,634,373,22,14,637.5,387.5,0.9012660384178162,0.9841897487640381,0,0,800,800
81,280,0,784,21,15,12.5,787.5,0.9004703164100647,0.9822695255279541,0,0,800,800
82,290,159,210,31,11,162.5,212.5,0.8999112844467163,0.9794520735740662,0,0,800,800
83,183,504,426,14,16,512.5,437.5,0.8994724750518799,0.9623655676841736,0,0,800,800
84,61,100,261,11,5,112.5,262.5,0.8976487517356873,0.9836065769195557,0,0,800,800
85,402,33,616,24,21,37.5,637.5,0.8962756991386414,0.958737850189209,0,0,800,800
86,279,150,151,21,21,162.5,162.5,0.8911290764808655,0.9752650260925293,0,0,800,800
87,73,289,207,6,12,287.5,212.5,0.8894603252410889,0.9605262875556946,0,0,800,800
88,450,452,175,23,24,462.5,187.5,0.8878975510597229,0.9545454382896423,0,0,800,800
89,59,383,589,7,8,387.5,587.5,0.8866366147994995,1.0,0,0,800,800
