id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,18584,0,12,141,260,112.5,162.5,0.9945708513259888,0.98282390832901,0,0,800,800
1,24540,268,417,277,206,487.5,537.5,0.9938132762908936,0.9807870984077454,0,0,800,800
2,2565,148,551,65,54,187.5,562.5,0.9932907223701477,0.9883856177330017,0,0,800,800
3,7801,495,396,116,116,512.5,412.5,0.9902188181877136,0.9857469797134399,0,0,800,800
4,2469,418,192,49,70,437.5,237.5,0.9888197779655457,0.9835142493247986,0,0,800,800
5,1268,662,763,40,36,687.5,787.5,0.987914502620697,0.9937205910682678,0,0,800,800
6,7934,149,15,102,102,237.5,62.5,0.9842499494552612,0.9830042719841003,0,0,800,800
7,8994,100,666,127,133,112.5,737.5,0.9839158058166504,0.9806231260299683,0,0,800,800
8,27272,593,19,206,276,737.5,212.5,0.9832953214645386,0.9517688155174255,0,0,800,800
9,7144,176,607,99,98,187.5,637.5,0.9827249646186829,0.9866518378257751,0,0,800,800
10,711,662,0,39,25,687.5,12.5,0.9773416519165039,0.9929873943328857,0,0,800,800
11,9670,366,682,187,117,512.5,787.5,0.975629448890686,0.98063725233078,0,0,800,800
12,10797,489,227,142,143,537.5,262.5,0.9751233458518982,0.9788306355476379,0,0,800,800
13,6012,443,2,91,89,512.5,37.5,0.9704763889312744,0.9703375697135925,0,0,800,800
14,24430,415,0,226,174,587.5,12.5,0.9690446853637695,0.9713558554649353,0,0,800,800
15,1939,320,239,84,37,387.5,262.5,0.968526303768158,0.9729867577552795,0,0,800,800
16,5630,710,463,89,133,737.5,562.5,0.9680432677268982,0.9720807671546936,0,0,800,800
17,4164,459,284,72,111,487.5,387.5,0.9673864841461182,0.976760745048523,0,0,800,800
18,723,678,611,25,34,687.5,637.5,0.9673345685005188,0.9821428656578064,0,0,800,800
19,4532,321,192,146,84,437.5,237.5,0.9647800922393799,0.9631396532058716,0,0,800,800
20,8520,697,591,102,115,762.5,662.5,0.9636807441711426,0.9788642525672913,0,0,800,800
21,625,83,475,32,29,87.5,487.5,0.960906982421875,0.9904305934906006,0,0,800,800
22,26255,0,12,249,260,62.5,62.5,0.9605255126953125,0.9517850875854492,0,0,800,800
23,1767,0,207,33,65,12.5,212.5,0.9594318270683289,0.9721293449401855,0,0,800,800
24,613,331,727,31,35,337.5,737.5,0.9586585164070129,0.9789302945137024,0,0,800,800
25,16030,100,607,174,192,162.5,712.5,0.9584910869598389,0.9586812257766724,0,0,800,800
26,494,587,778,31,21,612.5,787.5,0.9583017230033875,0.9859719276428223,0,0,800,800
27,312,574,607,20,18,587.5,612.5,0.9577569961547852,0.9904458522796631,0,0,800,800
28,648,374,626,43,21,412.5,637.5,0.9577121734619141,0.9831804037094116,0,0,800,800
29,772,677,611,27,53,687.5,612.5,0.9566104412078857,0.9795396327972412,0,0,800,800
30,380,300,487,16,29,312.5,487.5,0.956244945526123,0.9895287752151489,0,0,800,800
31,1088,414,14,30,41,437.5,37.5,0.9558936357498169,0.9790909290313721,0,0,800,800
32,250,637,425,13,22,637.5,437.5,0.9552356004714966,0.9841897487640381,0,0,800,800
33,1808,694,384,77,49,762.5,387.5,0.9545775651931763,0.9678474068641663,0,0,800,800
34,1530,556,640,70,50,562.5,662.5,0.9543035626411438,0.9748873114585876,0,0,800,800
35,580,746,269,31,28,762.5,287.5,0.9535849094390869,0.961082935333252,0,0,800,800
36,497,152,177,20,39,162.5,187.5,0.9534547924995422,0.966269850730896,0,0,800,800
37,337,232,289,14,27,237.5,287.5,0.953257143497467,0.9824047088623047,0,0,800,800
38,32337,268,326,343,297,387.5,537.5,0.9523060321807861,0.9537999629974365,0,0,800,800
39,9665,148,551,127,154,162.5,587.5,0.951464056968689,0.9750816822052002,0,0,800,800
40,598,0,441,33,25,12.5,462.5,0.950232982635498,0.9850746393203735,0,0,800,800
41,327,518,669,20,21,537.5,687.5,0.9495521783828735,0.9908536672592163,0,0,800,800
42,6681,462,513,84,110,487.5,612.5,0.9493188261985779,0.9740106463432312,0,0,800,800
43,3640,592,104,69,84,637.5,112.5,0.948517382144928,0.9758676886558533,0,0,800,800
44,206,133,177,20,13,137.5,187.5,0.9485065937042236,0.9668246507644653,0,0,800,800
45,274,93,203,24,13,112.5,212.5,0.9484241008758545,0.9783393740653992,0,0,800,800
46,485,387,566,29,37,412.5,587.5,0.9480600357055664,0.9795501232147217,0,0,800,800
47,782,72,188,21,45,87.5,212.5,0.9479120373725891,0.9784537553787231,0,0,800,800
48,591,0,599,31,29,12.5,612.5,0.9459570050239563,0.9816053509712219,0,0,800,800
49,719,352,283,40,35,362.5,287.5,0.9456779956817627,0.9793103337287903,0,0,800,800
50,687,548,746,54,25,587.5,762.5,0.9453642964363098,0.9841498732566833,0,0,800,800
51,213,614,455,14,17,612.5,462.5,0.9452223181724548,0.9860464930534363,0,0,800,800
52,1893,221,354,70,69,237.5,387.5,0.9435725212097168,0.9637868404388428,0,0,800,800
53,249,203,156,19,22,212.5,162.5,0.9431216716766357,0.9802371263504028,0,0,800,800
54,218,674,652,17,15,687.5,662.5,0.942692756652832,0.9728506803512573,0,0,800,800
55,758,657,272,39,57,662.5,287.5,0.942639172077179,0.9700520634651184,0,0,800,800
56,356,62,563,25,16,62.5,562.5,0.9424257278442383,0.9804469347000122,0,0,800,800
57,791,537,56,27,37,537.5,62.5,0.9424008727073669,0.9698870778083801,0,0,800,800
58,228,226,261,16,19,237.5,262.5,0.9419717192649841,0.9825327396392822,0,0,800,800
59,466,643,393,25,25,662.5,412.5,0.9417902827262878,0.9808510541915894,0,0,800,800
60,545,129,480,19,35,137.5,512.5,0.9417785406112671,0.9763636589050293,0,0,800,800
61,455,0,317,20,27,12.5,337.5,0.9417275190353394,0.9676724076271057,0,0,800,800
62,429,35,617,26,26,37.5,637.5,0.9416656494140625,0.9815242290496826,0,0,800,800
63,190,712,711,15,13,712.5,712.5,0.9411108493804932,0.9842105507850647,0,0,800,800
64,592,86,673,35,20,112.5,687.5,0.9409751296043396,0.9882155060768127,0,0,800,800
65,144,327,386,11,17,337.5,387.5,0.9397251009941101,0.9793103337287903,0,0,800,800
66,175,459,686,22,8,462.5,687.5,0.9396122694015503,0.9887005686759949,0,0,800,800
67,7430,676,19,123,102,787.5,112.5,0.9387810230255127,0.9549940824508667,0,0,800,800
68,313,0,562,22,28,12.5,587.5,0.9385367631912231,0.9873015880584717,0,0,800,800
69,213,546,714,19,17,562.5,712.5,0.9382593631744385,0.9813953638076782,0,0,800,800
70,145,711,283,14,14,712.5,287.5,0.9367154836654663,0.9797297120094299,0,0,800,800
71,100,308,276,7,14,312.5,287.5,0.9366341829299927,0.9803921580314636,0,0,800,800
72,926,175,331,32,50,187.5,337.5,0.9350532293319702,0.9692144393920898,0,0,800,800
73,88,163,405,9,9,162.5,412.5,0.9346776008605957,0.9886363744735718,0,0,800,800
74,2412,477,195,97,78,562.5,212.5,0.9345488548278809,0.9622871279716492,0,0,800,800
75,203,263,493,9,26,262.5,512.5,0.93439120054245,0.9854369163513184,0,0,800,800
76,17112,268,417,192,178,437.5,537.5,0.93385910987854,0.9650949835777283,0,0,800,800
77,200,479,426,18,11,487.5,437.5,0.9333102703094482,0.9900990128517151,0,0,800,800
78,348,245,330,28,21,262.5,337.5,0.9332202672958374,0.9828571677207947,0,0,800,800
79,189,209,226,16,12,212.5,237.5,0.9318162202835083,0.9947368502616882,0,0,800,800
80,2360,481,195,93,43,487.5,212.5,0.9317733645439148,0.960132896900177,0,0,800,800
81,301,433,622,24,20,437.5,637.5,0.9308276176452637,0.9834437370300293,0,0,800,800
82,75,361,358,8,9,362.5,362.5,0.9299616813659668,0.9866666793823242,0,0,800,800
83,442,257,83,44,17,262.5,87.5,0.9294788837432861,0.9642857313156128,0,0,800,800
84,253,690,485,22,17,687.5,487.5,0.9294379353523254,0.9882352948188782,0,0,800,800
85,139,186,313,13,12,187.5,312.5,0.9283975958824158,0.9857142567634583,0,0,800,800
86,190,586,471,13,17,587.5,487.5,0.9278806447982788,0.9740932583808899,0,0,800,800
87,98,711,251,6,15,712.5,262.5,0.92741858959198,0.9897959232330322,0,0,800,800
88,98,680,686,12,8,687.5,687.5,0.9266213178634644,1.0,0,0,800,800
89,318,0,518,25,21,12.5,537.5,0.9253298044204712,0.9720497131347656,0,0,800,800
90,735,738,328,26,43,762.5,362.5,0.9246266484260559,0.9746666550636292,0,0,800,800
91,402,181,409,21,29,187.5,437.5,0.9244965314865112,0.9803439974784851,0,0,800,800
92,743,593,714,32,41,612.5,737.5,0.9240719079971313,0.9721485376358032,0,0,800,800
93,460,175,129,30,20,187.5,137.5,0.9223422408103943,0.9806034564971924,0,0,800,800
94,223,24,4,19,15,37.5,12.5,0.9216300845146179,0.9691630005836487,0,0,800,800
95,1312,589,277,43,58,612.5,312.5,0.9214057922363281,0.9604477882385254,0,0,800,800
96,439,373,593,42,28,412.5,612.5,0.9203768968582153,0.9864253401756287,0,0,800,800
97,91,129,161,10,9,137.5,162.5,0.9181015491485596,0.9890109896659851,0,0,800,800
98,155,203,427,15,13,212.5,437.5,0.9179399609565735,0.9810126423835754,0,0,800,800
99,256,346,205,20,15,362.5,212.5,0.9178012609481812,0.961685836315155,0,0,800,800
100,1298,593,713,69,42,612.5,712.5,0.9176890850067139,0.9606656432151794,0,0,800,800
