id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,27424,0,9,143,296,62.5,37.5,1.012452483177185,0.9851232767105103,0,0,800,800
1,11792,129,31,151,104,187.5,112.5,0.9994248747825623,0.9897072315216064,0,0,800,800
2,5902,705,612,94,77,787.5,662.5,0.9978794455528259,0.991725742816925,0,0,800,800
3,1704,116,0,144,23,187.5,12.5,0.9946600794792175,0.9768250584602356,0,0,800,800
4,46061,48,389,259,410,162.5,637.5,0.9877520799636841,0.9564769268035889,0,0,800,800
5,34184,81,594,225,205,112.5,762.5,0.987749457359314,0.9861405491828918,0,0,800,800
6,8579,379,698,121,101,487.5,762.5,0.987022340297699,0.9879434108734131,0,0,800,800
7,33039,607,23,192,325,787.5,162.5,0.9867016077041626,0.9790530204772949,0,0,800,800
8,1805,315,602,44,52,337.5,637.5,0.9865434765815735,0.9890170097351074,0,0,800,800
9,1190,753,530,46,41,762.5,562.5,0.9793379306793213,0.9759136438369751,0,0,800,800
10,1241,550,763,49,36,562.5,787.5,0.9785597920417786,0.9864000082015991,0,0,800,800
11,8589,379,697,217,102,387.5,787.5,0.9771326780319214,0.9753581881523132,0,0,800,800
12,920,425,53,35,46,437.5,87.5,0.9734349250793457,0.9784017205238342,0,0,800,800
13,1871,150,371,50,49,187.5,412.5,0.9718040823936462,0.9731861352920532,0,0,800,800
14,46100,47,513,260,286,262.5,687.5,0.9710472822189331,0.95008784532547,0,0,800,800
15,21177,445,176,193,184,462.5,262.5,0.9699485898017883,0.9618185758590698,0,0,800,800
16,1848,766,23,33,66,787.5,37.5,0.9683043360710144,0.9706510305404663,0,0,800,800
17,585,731,489,28,34,737.5,512.5,0.9651692509651184,0.9830220937728882,0,0,800,800
18,12365,481,367,130,149,537.5,512.5,0.962428092956543,0.9802916049957275,0,0,800,800
19,9868,379,614,395,185,437.5,787.5,0.9618227481842041,0.967990517616272,0,0,800,800
20,25210,606,122,193,225,637.5,137.5,0.9614557027816772,0.9666783213615417,0,0,800,800
