id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,7896,0,389,96,110,12.5,437.5,1.001047134399414,0.9821809530258179,0,0,800,800
1,23084,391,465,272,185,587.5,587.5,0.9945614337921143,0.9775011539459229,0,0,800,800
2,8382,525,745,242,54,562.5,762.5,0.9882153272628784,0.9832051992416382,0,0,800,800
3,1044,773,454,26,48,787.5,462.5,0.9848676323890686,0.9763705134391785,0,0,800,800
4,6288,185,192,105,97,212.5,237.5,0.9814384579658508,0.9836168885231018,0,0,800,800
5,29959,569,19,230,189,637.5,137.5,0.9737510681152344,0.9607958793640137,0,0,800,800
6,37322,344,54,201,349,512.5,137.5,0.971960186958313,0.9769989848136902,0,0,800,800
7,6921,254,26,103,95,262.5,87.5,0.9717013835906982,0.9749252200126648,0,0,800,800
8,1330,773,413,26,89,787.5,462.5,0.9715311527252197,0.9732937812805176,0,0,800,800
9,548,235,553,25,23,237.5,562.5,0.9701386094093323,0.9783783555030823,0,0,800,800
10,1387,596,402,41,43,612.5,412.5,0.9679788947105408,0.9743954539299011,0,0,800,800
11,630,96,439,32,27,112.5,437.5,0.9672703146934509,0.9748031497001648,0,0,800,800
12,751,113,764,27,35,112.5,787.5,0.9669967293739319,0.9748677015304565,0,0,800,800
13,477,35,68,29,24,62.5,87.5,0.9622027277946472,0.9812889695167542,0,0,800,800
14,928,211,349,42,28,212.5,362.5,0.9609705209732056,0.9670212864875793,0,0,800,800
15,48295,523,0,276,225,587.5,112.5,0.9609137773513794,0.9563044309616089,0,0,800,800
16,1295,739,758,53,41,762.5,762.5,0.9593921899795532,0.9839326739311218,0,0,800,800
17,1521,97,640,37,63,112.5,662.5,0.9583010077476501,0.9772874712944031,0,0,800,800
18,455,435,124,24,20,437.5,137.5,0.9568306803703308,0.9741379022598267,0,0,800,800
19,770,781,510,18,53,787.5,512.5,0.9563482999801636,0.9870967864990234,0,0,800,800
20,473,288,550,43,22,287.5,562.5,0.955829918384552,0.9811715483665466,0,0,800,800
21,347,363,687,23,22,362.5,687.5,0.954555332660675,0.9715909361839294,0,0,800,800
22,726,161,381,48,33,162.5,412.5,0.9539146423339844,0.9863387942314148,0,0,800,800
23,457,211,350,22,27,212.5,362.5,0.9538998007774353,0.9805615544319153,0,0,800,800
24,2799,510,362,49,96,537.5,437.5,0.9530209898948669,0.9732016921043396,0,0,800,800
25,582,682,675,37,22,687.5,687.5,0.9527379870414734,0.9863247871398926,0,0,800,800
26,428,0,140,15,61,12.5,187.5,0.9527221918106079,0.9613636136054993,0,0,800,800
27,787,28,594,32,47,37.5,612.5,0.9517182111740112,0.9835858345031738,0,0,800,800
28,462,165,690,34,26,187.5,712.5,0.9516265392303467,0.9806867241859436,0,0,800,800
29,13279,185,26,172,263,237.5,237.5,0.9510452747344971,0.9675459265708923,0,0,800,800
30,130,437,661,12,11,437.5,662.5,0.9506518840789795,0.9923664331436157,0,0,800,800
31,441,127,90,35,21,137.5,87.5,0.9482634663581848,0.9909502267837524,0,0,800,800
32,1131,475,705,37,44,487.5,737.5,0.9477804899215698,0.9686684012413025,0,0,800,800
33,222,189,608,20,13,187.5,612.5,0.947695791721344,0.9866071343421936,0,0,800,800
34,720,174,83,65,39,187.5,87.5,0.9474405646324158,0.9752407073974609,0,0,800,800
35,1609,547,663,77,49,612.5,662.5,0.947097659111023,0.967504620552063,0,0,800,800
36,151,89,506,13,13,87.5,512.5,0.9470226168632507,0.9607843160629272,0,0,800,800
37,208,233,699,11,22,237.5,712.5,0.9466177225112915,0.9903846383094788,0,0,800,800
38,2993,624,693,82,75,662.5,762.5,0.9451887011528015,0.9662184119224548,0,0,800,800
39,114,662,630,10,12,662.5,637.5,0.9451446533203125,0.991304337978363,0,0,800,800
