id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,5672,515,715,117,84,562.5,787.5,1.0084807872772217,0.9814847111701965,0,0,800,800
1,69928,0,0,286,314,212.5,237.5,0.995349645614624,0.9650729894638062,0,0,800,800
2,2696,757,0,42,81,762.5,37.5,0.9944114089012146,0.9768891930580139,0,0,800,800
3,11424,371,526,133,138,412.5,662.5,0.9927546977996826,0.982300877571106,0,0,800,800
4,6526,717,588,82,102,787.5,612.5,0.9922583699226379,0.975712776184082,0,0,800,800
5,5852,173,735,149,64,237.5,787.5,0.9904329776763916,0.9860851764678955,0,0,800,800
6,2786,712,0,61,66,737.5,62.5,0.9901513457298279,0.9804479479789734,0,0,800,800
7,2135,46,0,47,55,87.5,37.5,0.9877970814704895,0.980510413646698,0,0,800,800
8,6066,379,729,116,70,387.5,762.5,0.9839547276496887,0.9755581021308899,0,0,800,800
9,6690,645,589,154,101,787.5,687.5,0.9824165105819702,0.9585280418395996,0,0,800,800
10,17636,147,484,169,168,187.5,537.5,0.981730580329895,0.9749118089675903,0,0,800,800
11,1042,122,0,50,24,162.5,12.5,0.981600821018219,0.9744318127632141,0,0,800,800
12,69132,0,0,282,655,112.5,12.5,0.9802707433700562,0.9613784551620483,0,0,800,800
13,2425,515,381,94,58,587.5,437.5,0.9793112277984619,0.9848360419273376,0,0,800,800
14,1720,755,734,44,65,787.5,787.5,0.9782891273498535,0.9793103337287903,0,0,800,800
15,3698,181,231,79,73,187.5,287.5,0.9762321710586548,0.9728145003318787,0,0,800,800
16,69906,309,0,490,273,387.5,12.5,0.9726381301879883,0.9566479325294495,0,0,800,800
17,2872,644,639,54,71,662.5,687.5,0.9726163148880005,0.9735667705535889,0,0,800,800
18,1059,496,749,30,50,512.5,762.5,0.9687322974205017,0.9748603105545044,0,0,800,800
19,3149,46,0,125,55,62.5,12.5,0.9683512449264526,0.9737499952316284,0,0,800,800
20,8451,323,729,173,70,387.5,762.5,0.9676213264465332,0.9705159664154053,0,0,800,800
21,4140,0,653,80,85,37.5,712.5,0.9662683606147766,0.9808566570281982,0,0,800,800
22,3493,0,563,47,95,12.5,637.5,0.9643694162368774,0.9732243418693542,0,0,800,800
23,3892,564,470,113,65,612.5,512.5,0.9639748334884644,0.9806615710258484,0,0,800,800
24,3670,216,0,94,46,237.5,37.5,0.9627425074577332,0.9552238583564758,0,0,800,800
25,493,774,452,25,24,787.5,462.5,0.9622997641563416,0.977911651134491,0,0,800,800
26,1691,550,771,76,28,612.5,787.5,0.9619247317314148,0.9749417304992676,0,0,800,800
27,3542,347,128,65,91,387.5,187.5,0.9618141651153564,0.9773489832878113,0,0,800,800
28,676,393,515,24,47,412.5,537.5,0.9596933126449585,0.9839650392532349,0,0,800,800
29,8959,594,267,136,107,637.5,337.5,0.959466814994812,0.9608186483383179,0,0,800,800
30,1049,483,704,44,40,512.5,712.5,0.9593777656555176,0.9736841917037964,0,0,800,800
31,525,391,277,34,26,412.5,287.5,0.9584859013557434,0.9754716753959656,0,0,800,800
32,2777,0,0,44,79,37.5,37.5,0.9577863812446594,0.9656028151512146,0,0,800,800
33,418,669,397,33,20,687.5,412.5,0.9552277326583862,0.9833729267120361,0,0,800,800
34,744,423,81,35,54,437.5,112.5,0.9548583030700684,0.9708608984947205,0,0,800,800
35,541,531,618,41,20,562.5,637.5,0.953018307685852,0.9780621528625488,0,0,800,800
36,957,172,771,52,28,212.5,787.5,0.9510751366615295,0.9552390575408936,0,0,800,800
37,838,196,82,54,22,212.5,87.5,0.9502008557319641,0.974056601524353,0,0,800,800
38,293,329,243,18,20,337.5,262.5,0.9495147466659546,0.9864864945411682,0,0,800,800
39,4847,225,735,97,64,237.5,762.5,0.9483158588409424,0.9759771823883057,0,0,800,800
40,1643,0,732,25,67,12.5,737.5,0.9482622742652893,0.9569635391235352,0,0,800,800
41,3981,710,299,79,111,737.5,387.5,0.9481838941574097,0.957604169845581,0,0,800,800
42,3512,268,143,76,87,337.5,187.5,0.9480106830596924,0.9603573679924011,0,0,800,800
43,183,609,390,12,17,612.5,387.5,0.9476745128631592,0.9732620120048523,0,0,800,800
44,359,565,528,25,21,587.5,537.5,0.947113037109375,0.9834710955619812,0,0,800,800
45,227,330,460,19,17,337.5,462.5,0.9461628198623657,0.9826086759567261,0,0,800,800
46,9594,0,719,143,80,12.5,737.5,0.9458699226379395,0.9808069467544556,0,0,800,800
47,6591,580,564,112,175,587.5,662.5,0.9445852041244507,0.9540808796882629,0,0,800,800
48,811,244,43,44,22,262.5,62.5,0.943260133266449,0.9626955389976501,0,0,800,800
49,904,0,497,23,65,12.5,512.5,0.9428091049194336,0.962039053440094,0,0,800,800
50,4720,544,0,92,60,587.5,37.5,0.9417048096656799,0.9631710648536682,0,0,800,800
51,6643,580,479,81,260,612.5,687.5,0.9416723251342773,0.9530447721481323,0,0,800,800
52,810,315,383,44,38,337.5,412.5,0.9414244890213013,0.9719512462615967,0,0,800,800
53,281,780,477,16,19,787.5,487.5,0.9411430358886719,0.982332170009613,0,0,800,800
54,2489,630,206,44,77,662.5,262.5,0.9395104050636292,0.9540094137191772,0,0,800,800
55,3751,0,526,48,133,12.5,637.5,0.9384162425994873,0.9637548923492432,0,0,800,800
56,534,292,646,22,34,312.5,662.5,0.937924861907959,0.9888268113136292,0,0,800,800
57,257,366,385,20,14,387.5,387.5,0.9369103908538818,0.9728682041168213,0,0,800,800
58,1362,483,681,44,63,512.5,712.5,0.9363155364990234,0.9501424431800842,0,0,800,800
59,96,486,433,9,10,487.5,437.5,0.9348441362380981,1.0,0,0,800,800
60,118,749,280,15,8,762.5,287.5,0.9323028326034546,0.9747899174690247,0,0,800,800
61,129,404,108,14,11,412.5,112.5,0.9321067333221436,1.0,0,0,800,800
62,6730,370,532,85,131,437.5,612.5,0.9319202899932861,0.9509860873222351,0,0,800,800
63,161,321,683,14,11,337.5,687.5,0.9313234090805054,0.9753086566925049,0,0,800,800
64,8829,718,454,81,345,762.5,762.5,0.9308815002441406,0.957123875617981,0,0,800,800
65,176,380,308,19,10,387.5,312.5,0.9308573603630066,0.9887005686759949,0,0,800,800
66,343,394,668,26,20,412.5,687.5,0.9299124479293823,0.9713466763496399,0,0,800,800
67,461,408,147,35,27,412.5,162.5,0.9294191598892212,0.9639065861701965,0,0,800,800
68,216,350,551,15,18,362.5,562.5,0.9286104440689087,0.9953703880310059,0,0,800,800
69,374,580,363,27,20,587.5,362.5,0.9269405603408813,0.9735449552536011,0,0,800,800
70,1097,408,79,51,56,437.5,87.5,0.924663782119751,0.9642537832260132,0,0,800,800
71,252,404,341,21,24,412.5,362.5,0.9241280555725098,0.9689922332763672,0,0,800,800
72,14417,174,730,436,69,387.5,787.5,0.9238228797912598,0.9592888951301575,0,0,800,800
73,1883,0,80,31,94,12.5,112.5,0.9236290454864502,0.9680125713348389,0,0,800,800
74,317,488,0,32,12,512.5,12.5,0.9235016703605652,0.959876537322998,0,0,800,800
75,1173,309,731,34,58,312.5,737.5,0.922623336315155,0.9556114077568054,0,0,800,800
76,903,182,664,32,37,187.5,687.5,0.9225860238075256,0.9629225730895996,0,0,800,800
77,470,359,478,35,25,362.5,487.5,0.9222970008850098,0.9685534834861755,0,0,800,800
78,440,291,470,24,34,312.5,487.5,0.9207730293273926,0.9686800837516785,0,0,800,800
79,811,252,576,24,52,262.5,612.5,0.9201683402061462,0.9557945132255554,0,0,800,800
80,126,536,306,13,10,537.5,312.5,0.9197415113449097,0.9920634627342224,0,0,800,800
81,149,480,236,16,11,487.5,237.5,0.9195566177368164,0.9671052694320679,0,0,800,800
82,229,784,525,15,18,787.5,537.5,0.9195073843002319,0.9870689511299133,0,0,800,800
83,104,311,423,8,13,312.5,437.5,0.917829155921936,0.9809523820877075,0,0,800,800
84,400,581,244,22,48,587.5,262.5,0.9170048832893372,0.9633252024650574,0,0,800,800
85,53209,0,313,304,411,37.5,512.5,0.9167511463165283,0.9522806406021118,0,0,800,800
86,2266,127,707,88,92,162.5,762.5,0.9163022041320801,0.9639756679534912,0,0,800,800
87,289,541,650,22,20,562.5,662.5,0.9162375330924988,0.9863013625144958,0,0,800,800
88,800,620,139,26,39,637.5,162.5,0.9160573482513428,0.9572649598121643,0,0,800,800
89,358,459,58,34,11,487.5,62.5,0.9151442050933838,0.9779614210128784,0,0,800,800
90,491,359,318,29,32,387.5,337.5,0.913753867149353,0.9778226017951965,0,0,800,800
91,282,370,214,20,24,387.5,237.5,0.912680983543396,0.9689655303955078,0,0,800,800
92,3530,580,626,75,113,612.5,662.5,0.9119621515274048,0.954432487487793,0,0,800,800
93,83,312,423,6,12,312.5,437.5,0.908850908279419,0.988095223903656,0,0,800,800
94,139,533,258,12,12,537.5,262.5,0.9062991142272949,0.9784172773361206,0,0,800,800
95,1324,196,366,45,39,237.5,387.5,0.9037420153617859,0.9536082744598389,0,0,800,800
96,670,186,707,30,44,212.5,712.5,0.9006068706512451,0.9690265655517578,0,0,800,800
97,1380,128,733,53,66,162.5,787.5,0.8908225893974304,0.9551920294761658,0,0,800,800
98,363,174,321,20,25,187.5,337.5,0.8907164335250854,0.9543010592460632,0,0,800,800
99,378,161,293,15,29,162.5,312.5,0.8885367512702942,0.9558441638946533,0,0,800,800
100,304,367,328,20,22,387.5,337.5,0.8874555826187134,0.9804560542106628,0,0,800,800
101,261,20,314,19,15,37.5,312.5,0.8852431178092957,0.951127827167511,0,0,800,800
102,413,713,709,25,27,712.5,737.5,0.8834819197654724,0.9714285731315613,0,0,800,800
