id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,6283,733,367,66,135,762.5,487.5,0.9985691905021667,0.9901805520057678,0,0,800,800
1,14691,344,199,170,149,362.5,262.5,0.9978349208831787,0.9878090023994446,0,0,800,800
2,2003,0,39,33,88,12.5,62.5,0.9944367408752441,0.9925447106361389,0,0,800,800
3,34487,536,0,242,202,537.5,37.5,0.9886958599090576,0.9680073261260986,0,0,800,800
4,6354,525,756,227,43,562.5,762.5,0.9845417737960815,0.9676320552825928,0,0,800,800
5,457582,0,0,799,799,662.5,637.5,0.9831113815307617,0.9524109959602356,0,0,800,800
6,1122,781,43,18,83,787.5,87.5,0.98226398229599,0.9858155846595764,0,0,800,800
7,5817,728,506,71,131,737.5,562.5,0.9817723035812378,0.9827762842178345,0,0,800,800
8,779,104,636,28,33,112.5,662.5,0.9782217144966125,0.9884910583496094,0,0,800,800
9,21024,0,269,134,240,87.5,362.5,0.9763221740722656,0.9738386869430542,0,0,800,800
10,841,100,749,22,50,112.5,762.5,0.9736433029174805,0.977647066116333,0,0,800,800
11,826,169,0,44,22,187.5,12.5,0.9733377695083618,0.9867629408836365,0,0,800,800
12,2640,525,756,79,43,587.5,762.5,0.9705917835235596,0.9793543815612793,0,0,800,800
13,17341,242,13,137,181,362.5,62.5,0.9685208797454834,0.982387900352478,0,0,800,800
14,7325,733,44,66,459,762.5,437.5,0.9683239459991455,0.9862939119338989,0,0,800,800
15,331,56,65,19,22,62.5,62.5,0.9679370522499084,0.976331353187561,0,0,800,800
16,4499,553,215,75,88,587.5,262.5,0.967321515083313,0.9751975536346436,0,0,800,800
17,2271,423,88,78,56,487.5,87.5,0.9644260406494141,0.9649502635002136,0,0,800,800
18,1333,485,321,58,32,537.5,337.5,0.9638426303863525,0.9792130589485168,0,0,800,800
19,460,103,446,31,20,112.5,462.5,0.9632450938224792,0.9848484992980957,0,0,800,800
20,16420,392,372,179,147,512.5,462.5,0.9620506167411804,0.9780920743942261,0,0,800,800
21,3318,16,269,119,45,87.5,287.5,0.9612186551094055,0.968629777431488,0,0,800,800
22,1261,466,628,41,39,487.5,637.5,0.9604192972183228,0.9811172485351562,0,0,800,800
23,630,510,635,25,36,512.5,662.5,0.9598420858383179,0.988959014415741,0,0,800,800
24,579,531,160,29,34,537.5,187.5,0.9590360522270203,0.9794520735740662,0,0,800,800
25,11735,273,372,133,170,362.5,412.5,0.9567520022392273,0.9593279361724854,0,0,800,800
26,955,180,768,50,31,187.5,787.5,0.9566788077354431,0.9875389337539673,0,0,800,800
27,41982,536,0,263,501,562.5,37.5,0.9530649185180664,0.9748035669326782,0,0,800,800
28,27903,411,434,250,232,512.5,612.5,0.9530013799667358,0.9716981053352356,0,0,800,800
29,319,430,702,24,23,437.5,712.5,0.9529237747192383,0.9752321839332581,0,0,800,800
30,538,206,333,21,32,212.5,337.5,0.9515689611434937,0.9870370626449585,0,0,800,800
31,21286,0,42,135,468,87.5,487.5,0.9513845443725586,0.974882960319519,0,0,800,800
32,1087,698,509,24,80,712.5,587.5,0.9509048461914062,0.9772105813026428,0,0,800,800
33,3512,609,764,147,35,637.5,787.5,0.9499691128730774,0.9595198035240173,0,0,800,800
34,160,0,634,15,13,12.5,637.5,0.9496614933013916,0.9937888383865356,0,0,800,800
35,664,476,669,27,28,487.5,687.5,0.9491634368896484,0.9850968718528748,0,0,800,800
36,349,290,606,16,28,287.5,612.5,0.948921799659729,0.9830028414726257,0,0,800,800
37,296,157,690,24,20,162.5,687.5,0.9481061100959778,0.9801324605941772,0,0,800,800
38,198,9,702,14,16,12.5,712.5,0.9477506875991821,0.9800994992256165,0,0,800,800
39,13027,536,433,125,152,562.5,537.5,0.94767826795578,0.9692028760910034,0,0,800,800
40,491,233,572,33,33,237.5,587.5,0.9475420713424683,0.9718875288963318,0,0,800,800
41,274,55,501,22,18,62.5,512.5,0.9473363757133484,0.971222996711731,0,0,800,800
42,333,693,233,26,20,712.5,237.5,0.945854663848877,0.9910447597503662,0,0,800,800
43,499,339,600,22,29,362.5,612.5,0.9457004070281982,0.9900000095367432,0,0,800,800
44,1535,747,587,41,50,762.5,612.5,0.94474196434021,0.95652174949646,0,0,800,800
45,260,633,707,11,26,637.5,712.5,0.9440633058547974,0.9847328066825867,0,0,800,800
46,291,482,768,18,21,487.5,787.5,0.9437227249145508,0.9863945841789246,0,0,800,800
47,256,301,411,22,17,312.5,412.5,0.9430832266807556,0.9807692170143127,0,0,800,800
48,521,471,520,28,27,487.5,537.5,0.9419815540313721,0.9847908616065979,0,0,800,800
49,87,611,208,10,8,612.5,212.5,0.9415920972824097,0.9885057210922241,0,0,800,800
50,247,299,555,29,17,312.5,562.5,0.9408572316169739,0.9683794379234314,0,0,800,800
51,107,186,664,11,11,187.5,662.5,0.9408172369003296,0.9907407164573669,0,0,800,800
52,672,678,389,32,48,687.5,437.5,0.9406623840332031,0.9750367403030396,0,0,800,800
53,276,311,734,14,28,312.5,737.5,0.9398740530014038,0.9609929323196411,0,0,800,800
54,324,642,233,23,32,662.5,262.5,0.9398432970046997,0.978723406791687,0,0,800,800
55,597,25,725,47,31,37.5,737.5,0.9393970370292664,0.9867330193519592,0,0,800,800
56,1667,0,544,34,66,12.5,587.5,0.939167857170105,0.9751037359237671,0,0,800,800
57,32462,241,14,272,333,462.5,287.5,0.9389282464981079,0.9517049789428711,0,0,800,800
58,402,408,528,20,35,412.5,562.5,0.938880205154419,0.9683698415756226,0,0,800,800
59,114,530,732,11,11,537.5,737.5,0.9388473033905029,0.9739130139350891,0,0,800,800
60,1492,325,419,44,45,337.5,437.5,0.9386950135231018,0.954754114151001,0,0,800,800
61,318,131,771,13,28,137.5,787.5,0.9386075735092163,0.97826087474823,0,0,800,800
62,259,271,571,15,21,287.5,587.5,0.9385915398597717,0.9847328066825867,0,0,800,800
63,265,696,265,19,29,712.5,262.5,0.937860369682312,0.9849624037742615,0,0,800,800
64,457,748,340,30,26,762.5,362.5,0.9377928376197815,0.9869281053543091,0,0,800,800
65,1256,534,76,45,52,537.5,112.5,0.9371347427368164,0.9740973114967346,0,0,800,800
66,982,461,89,39,34,487.5,112.5,0.9366454482078552,0.975806474685669,0,0,800,800
67,139,277,235,11,18,287.5,237.5,0.9362309575080872,0.9784172773361206,0,0,800,800
68,136,427,661,14,11,437.5,662.5,0.9356813430786133,0.985401451587677,0,0,800,800
69,75,305,715,9,8,312.5,712.5,0.9350008964538574,0.9736841917037964,0,0,800,800
70,94,259,238,10,9,262.5,237.5,0.9346362352371216,1.0,0,0,800,800
71,221,219,431,21,12,237.5,437.5,0.9341745376586914,0.9688888788223267,0,0,800,800
72,165,562,709,12,14,562.5,712.5,0.9339955449104309,0.9879518151283264,0,0,800,800
73,97,588,355,12,8,587.5,362.5,0.9323249459266663,0.969072163105011,0,0,800,800
74,588,584,586,23,29,587.5,612.5,0.9320025444030762,0.9815126061439514,0,0,800,800
75,261,198,409,21,18,212.5,412.5,0.9313738346099854,0.969924807548523,0,0,800,800
76,309,507,749,16,23,512.5,762.5,0.9309132099151611,0.9870967864990234,0,0,800,800
77,306,80,43,20,34,87.5,62.5,0.9299553632736206,0.9837662577629089,0,0,800,800
78,409,728,284,35,27,762.5,287.5,0.9294812083244324,0.9807229042053223,0,0,800,800
79,124,155,724,9,15,162.5,737.5,0.9294008016586304,0.9763779640197754,0,0,800,800
80,1488,758,130,41,52,787.5,137.5,0.9284047484397888,0.9524120092391968,0,0,800,800
81,254,402,585,20,18,412.5,587.5,0.9284000396728516,0.9921875,0,0,800,800
82,201,108,114,19,17,112.5,112.5,0.9268403649330139,0.9851484894752502,0,0,800,800
83,127,260,199,12,15,262.5,212.5,0.9268226027488708,0.9689922332763672,0,0,800,800
84,125,224,386,12,11,237.5,387.5,0.9265872240066528,0.9919999837875366,0,0,800,800
85,398,167,98,27,27,187.5,112.5,0.9258516430854797,0.9850000143051147,0,0,800,800
86,1983,546,619,56,48,587.5,637.5,0.9247938990592957,0.9721946120262146,0,0,800,800
87,1986,716,117,64,55,737.5,162.5,0.9233870506286621,0.9546350836753845,0,0,800,800
88,58,265,184,7,8,262.5,187.5,0.9200220108032227,0.982758641242981,0,0,800,800
89,71,664,480,8,8,662.5,487.5,0.9190510511398315,0.9861111044883728,0,0,800,800
90,246,12,12,16,27,12.5,12.5,0.9180498123168945,0.9839357137680054,0,0,800,800
91,136,177,404,15,12,187.5,412.5,0.9169819355010986,0.9637681245803833,0,0,800,800
92,5152,275,53,82,91,312.5,62.5,0.9169328212738037,0.9621168971061707,0,0,800,800
93,657,284,680,47,18,312.5,687.5,0.9153506755828857,0.9550225138664246,0,0,800,800
94,501,165,479,30,61,187.5,487.5,0.9152690172195435,0.9534883499145508,0,0,800,800
95,28260,274,372,297,170,487.5,512.5,0.91450035572052,0.9552388787269592,0,0,800,800
96,848,563,233,63,30,612.5,262.5,0.9144765138626099,0.965237557888031,0,0,800,800
97,298,0,759,12,27,12.5,762.5,0.9143049120903015,0.9638158082962036,0,0,800,800
98,172,677,248,11,15,687.5,262.5,0.912995457649231,0.9825581312179565,0,0,800,800
99,202,581,673,13,21,587.5,687.5,0.9123751521110535,0.9658536314964294,0,0,800,800
100,590,719,43,38,24,737.5,62.5,0.9098249077796936,0.9748743772506714,0,0,800,800
101,619,33,0,39,42,62.5,12.5,0.9086880683898926,0.9557662010192871,0,0,800,800
102,85,9,534,9,10,12.5,537.5,0.9079557657241821,0.9647058844566345,0,0,800,800
103,209,399,647,17,13,412.5,662.5,0.9074237942695618,0.9905213117599487,0,0,800,800
104,114,508,11,11,12,512.5,12.5,0.906853199005127,0.9739130139350891,0,0,800,800
105,223,164,512,11,28,162.5,537.5,0.906451404094696,0.9736841917037964,0,0,800,800
106,131,511,58,13,13,512.5,62.5,0.9062106609344482,0.9629629850387573,0,0,800,800
107,13068,536,433,125,231,562.5,462.5,0.9048821330070496,0.9507057666778564,0,0,800,800
108,1977,758,107,41,74,787.5,137.5,0.9048354625701904,0.9578790664672852,0,0,800,800
109,398,571,158,18,26,587.5,162.5,0.9047413468360901,0.9628713130950928,0,0,800,800
110,201,146,634,14,14,162.5,637.5,0.9021279215812683,0.9900990128517151,0,0,800,800
111,155,476,731,19,11,487.5,737.5,0.9012010097503662,0.9808917045593262,0,0,800,800
112,107,129,133,12,9,137.5,137.5,0.9003106355667114,1.0,0,0,800,800
113,361,188,221,24,23,212.5,237.5,0.9001059532165527,0.972752034664154,0,0,800,800
114,314,284,680,27,18,287.5,687.5,0.899825394153595,0.9627329111099243,0,0,800,800
115,439,749,65,28,25,762.5,87.5,0.8998233675956726,0.9773755669593811,0,0,800,800
116,155,727,272,15,13,737.5,287.5,0.8986044526100159,0.987261176109314,0,0,800,800
117,12634,0,356,105,154,62.5,387.5,0.8980786204338074,0.9725193381309509,0,0,800,800
118,133,200,458,11,13,212.5,462.5,0.8971894979476929,0.970370352268219,0,0,800,800
119,1706,81,0,69,77,112.5,37.5,0.8929346203804016,0.9508852362632751,0,0,800,800
120,304,192,561,26,24,212.5,587.5,0.892870306968689,0.9641693830490112,0,0,800,800
121,899,87,500,52,53,112.5,512.5,0.892092227935791,0.9607415199279785,0,0,800,800
122,893,38,52,47,58,37.5,62.5,0.8882259726524353,0.9540983438491821,0,0,800,800
123,127,138,401,12,11,137.5,412.5,0.8856579661369324,0.9767441749572754,0,0,800,800
124,136,732,380,10,15,737.5,387.5,0.8839409947395325,0.9637681245803833,0,0,800,800
125,268,259,198,24,17,262.5,212.5,0.8817987442016602,0.9566786885261536,0,0,800,800
126,185,456,687,16,19,462.5,687.5,0.8810258507728577,0.9732620120048523,0,0,800,800
