id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,7502,416,0,123,101,512.5,12.5,0.9962458610534668,0.987284779548645,0,0,800,800
1,5286,0,0,65,97,37.5,87.5,0.9873230457305908,0.9824069142341614,0,0,800,800
2,4865,407,732,110,67,487.5,787.5,0.9843918085098267,0.991193950176239,0,0,800,800
3,2424,176,505,58,58,187.5,512.5,0.983873724937439,0.975530207157135,0,0,800,800
4,3469,0,529,42,112,37.5,612.5,0.9834476113319397,0.9882521629333496,0,0,800,800
5,8912,0,684,162,115,12.5,787.5,0.9806246161460876,0.9750747680664062,0,0,800,800
6,1077,47,402,30,44,62.5,437.5,0.9785986542701721,0.989833652973175,0,0,800,800
7,797,332,284,33,27,337.5,287.5,0.9768264889717102,0.9974968433380127,0,0,800,800
8,1870,361,426,53,50,362.5,462.5,0.9751735329627991,0.9835368990898132,0,0,800,800
9,1231,745,403,54,36,762.5,437.5,0.9749475717544556,0.987873911857605,0,0,800,800
10,7729,336,560,161,119,462.5,562.5,0.9744579792022705,0.9547922611236572,0,0,800,800
11,12519,0,529,163,270,12.5,762.5,0.9743077754974365,0.9793626666069031,0,0,800,800
12,11614,682,498,117,155,737.5,637.5,0.974003255367279,0.989033579826355,0,0,800,800
13,11546,247,0,130,120,337.5,87.5,0.9734026789665222,0.9902644753456116,0,0,800,800
14,3532,761,0,38,119,787.5,87.5,0.9724768996238708,0.9814763069152832,0,0,800,800
15,2828,520,0,116,59,537.5,12.5,0.9696338772773743,0.9796918630599976,0,0,800,800
16,1155,185,0,38,51,187.5,12.5,0.9695820212364197,0.9761092066764832,0,0,800,800
17,15083,505,293,157,171,612.5,387.5,0.9689990878105164,0.9590131640434265,0,0,800,800
18,776,150,757,22,42,162.5,787.5,0.9680361747741699,0.9910256266593933,0,0,800,800
19,2364,516,217,54,58,537.5,262.5,0.9672783613204956,0.9695960283279419,0,0,800,800
20,1604,648,728,57,57,687.5,762.5,0.9667896628379822,0.9784349799156189,0,0,800,800
21,2321,214,700,37,85,237.5,737.5,0.9656597971916199,0.9740866422653198,0,0,800,800
22,3478,0,74,53,95,12.5,137.5,0.9642084240913391,0.9708792567253113,0,0,800,800
23,3826,669,313,69,82,687.5,362.5,0.9630364775657654,0.9778064489364624,0,0,800,800
24,3818,669,273,69,122,712.5,362.5,0.9623085260391235,0.9764857888221741,0,0,800,800
25,533,624,633,25,31,637.5,662.5,0.9620133638381958,0.9906890392303467,0,0,800,800
26,600,586,493,20,38,587.5,512.5,0.9601274132728577,0.9737274050712585,0,0,800,800
27,1695,522,728,184,57,687.5,762.5,0.9598114490509033,0.9514563083648682,0,0,800,800
28,1578,251,753,97,46,262.5,762.5,0.9574347734451294,0.9774718284606934,0,0,800,800
29,317,575,655,21,20,587.5,662.5,0.9570889472961426,1.0,0,0,800,800
30,285,406,184,22,16,412.5,187.5,0.9569931030273438,0.9929824471473694,0,0,800,800
31,924,428,677,78,17,487.5,687.5,0.9553158283233643,0.9839228391647339,0,0,800,800
32,418,302,309,22,39,312.5,337.5,0.954549252986908,0.9857482314109802,0,0,800,800
33,1802,441,619,56,41,487.5,637.5,0.9525870680809021,0.9720547795295715,0,0,800,800
34,788,504,685,28,41,512.5,687.5,0.951818585395813,0.981179416179657,0,0,800,800
35,452,415,105,23,30,437.5,112.5,0.9517563581466675,0.9868420958518982,0,0,800,800
36,1656,481,726,79,45,512.5,762.5,0.950822114944458,0.9779630899429321,0,0,800,800
37,220,452,351,15,15,462.5,362.5,0.9507920145988464,0.9909502267837524,0,0,800,800
38,11566,164,711,635,88,737.5,762.5,0.9505521059036255,0.9534022808074951,0,0,800,800
39,3319,147,362,64,77,162.5,387.5,0.9503430724143982,0.970273494720459,0,0,800,800
40,147,529,658,18,10,537.5,662.5,0.949222981929779,0.9597315192222595,0,0,800,800
41,995,0,483,41,44,12.5,512.5,0.9483104348182678,0.9721946120262146,0,0,800,800
42,6861,643,712,156,87,762.5,762.5,0.9482457637786865,0.9757959842681885,0,0,800,800
43,383,758,313,15,30,762.5,337.5,0.9482367038726807,0.9921671152114868,0,0,800,800
44,17768,634,31,165,138,737.5,37.5,0.9480761885643005,0.9723193049430847,0,0,800,800
