id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,10946,403,523,107,141,412.5,612.5,1.0068312883377075,0.9811815619468689,0,0,800,800
1,73342,0,0,284,328,212.5,212.5,0.9900349378585815,0.9782177209854126,0,0,800,800
2,8651,112,48,96,122,112.5,137.5,0.9890509247779846,0.9849666953086853,0,0,800,800
3,5938,510,704,94,95,587.5,787.5,0.988057017326355,0.968863844871521,0,0,800,800
4,14089,353,524,158,143,362.5,637.5,0.986554741859436,0.9830412864685059,0,0,800,800
5,13230,237,712,251,87,412.5,787.5,0.9858430624008179,0.9835230708122253,0,0,800,800
6,32541,641,38,158,258,762.5,287.5,0.9855308532714844,0.9795092940330505,0,0,800,800
7,3471,495,122,66,69,537.5,137.5,0.9849498271942139,0.9806212782859802,0,0,800,800
8,3092,729,601,70,76,762.5,662.5,0.9836655855178833,0.9789069890975952,0,0,800,800
9,929,642,528,39,33,662.5,537.5,0.9811766743659973,0.9849785566329956,0,0,800,800
10,4287,691,0,108,55,737.5,12.5,0.9810936450958252,0.9753569960594177,0,0,800,800
11,1193,775,530,24,57,787.5,562.5,0.9789028763771057,0.9866777658462524,0,0,800,800
12,461,593,0,28,21,612.5,12.5,0.9785173535346985,0.9892008900642395,0,0,800,800
13,62751,0,423,311,326,212.5,612.5,0.9780131578445435,0.9666975140571594,0,0,800,800
14,7280,354,110,89,135,412.5,162.5,0.9746534824371338,0.9794641733169556,0,0,800,800
15,6344,595,228,119,140,662.5,312.5,0.9721472263336182,0.9746854901313782,0,0,800,800
16,1116,90,0,70,22,137.5,12.5,0.9704798460006714,0.9742222428321838,0,0,800,800
17,6184,19,330,146,104,137.5,362.5,0.9677656292915344,0.9715240001678467,0,0,800,800
18,1639,159,764,59,35,212.5,787.5,0.9667691588401794,0.9776028990745544,0,0,800,800
19,3612,236,751,104,48,312.5,762.5,0.9667033553123474,0.9808219075202942,0,0,800,800
20,1938,159,756,77,43,237.5,762.5,0.9666014909744263,0.980040967464447,0,0,800,800
21,1588,690,0,57,38,737.5,12.5,0.9644501209259033,0.9787366986274719,0,0,800,800
22,507,454,481,30,21,462.5,487.5,0.9639655351638794,0.9940944910049438,0,0,800,800
23,3951,520,704,78,80,562.5,762.5,0.9617812037467957,0.9737368822097778,0,0,800,800
24,1688,475,682,51,65,487.5,712.5,0.9613684415817261,0.9818288683891296,0,0,800,800
25,829,496,752,24,47,512.5,762.5,0.9606088995933533,0.9820144176483154,0,0,800,800
26,7387,320,0,187,54,487.5,12.5,0.9597167372703552,0.97358238697052,0,0,800,800
27,627,235,203,30,29,262.5,212.5,0.9594601988792419,0.9716981053352356,0,0,800,800
28,1556,315,383,58,66,337.5,387.5,0.9581214189529419,0.9778340458869934,0,0,800,800
29,4428,396,269,79,95,437.5,337.5,0.9580004215240479,0.9728043079376221,0,0,800,800
30,9536,338,711,150,88,362.5,737.5,0.9572038650512695,0.9842872023582458,0,0,800,800
31,1576,775,464,24,124,787.5,562.5,0.9560719728469849,0.9774011373519897,0,0,800,800
32,1466,475,701,50,46,487.5,737.5,0.9558936953544617,0.9769959449768066,0,0,800,800
33,1570,522,365,67,62,537.5,387.5,0.9558249115943909,0.9729899764060974,0,0,800,800
34,365,788,464,11,39,787.5,487.5,0.9556152820587158,0.9836956262588501,0,0,800,800
35,283,12,312,20,15,12.5,312.5,0.9537913203239441,0.9825174808502197,0,0,800,800
36,1181,259,460,54,41,287.5,487.5,0.9519385099411011,0.9715481400489807,0,0,800,800
37,4112,553,621,114,117,637.5,637.5,0.9514949321746826,0.9618593454360962,0,0,800,800
38,269,402,680,18,18,412.5,687.5,0.9509463310241699,0.9852398633956909,0,0,800,800
39,749,729,652,34,25,762.5,662.5,0.9508745074272156,0.9801849126815796,0,0,800,800
40,2304,745,601,54,53,787.5,612.5,0.949454128742218,0.9712693095207214,0,0,800,800
41,1944,0,770,87,29,12.5,787.5,0.9475646615028381,0.9614995121955872,0,0,800,800
42,1063,369,509,37,41,387.5,537.5,0.9473786950111389,0.9648148417472839,0,0,800,800
43,277,321,681,23,13,337.5,687.5,0.9467911720275879,0.9892473220825195,0,0,800,800
44,4086,220,0,100,73,237.5,37.5,0.9462299942970276,0.958923876285553,0,0,800,800
45,497,587,372,32,34,612.5,387.5,0.9461343288421631,0.9880239367485046,0,0,800,800
46,332,275,365,25,29,287.5,387.5,0.9460777640342712,0.9880239367485046,0,0,800,800
47,333,637,453,33,21,662.5,462.5,0.946030855178833,0.9880596995353699,0,0,800,800
48,101,680,630,8,13,687.5,637.5,0.9450218081474304,1.0,0,0,800,800
49,160,555,327,13,13,562.5,337.5,0.9449951648712158,0.9695122241973877,0,0,800,800
50,206,289,710,13,17,287.5,712.5,0.9447070360183716,0.9665071964263916,0,0,800,800
51,1134,412,80,60,59,462.5,87.5,0.9445028305053711,0.9738448262214661,0,0,800,800
52,307,672,396,25,20,687.5,412.5,0.9443421363830566,0.9708737730979919,0,0,800,800
53,175,530,404,11,16,537.5,412.5,0.9428802728652954,0.9942857027053833,0,0,800,800
54,4001,554,463,107,85,612.5,512.5,0.94269859790802,0.9509875774383545,0,0,800,800
55,380,690,505,28,25,712.5,512.5,0.940945029258728,0.9842932224273682,0,0,800,800
56,557,167,293,25,34,187.5,312.5,0.9408466815948486,0.9769911766052246,0,0,800,800
57,2527,4,76,48,100,37.5,112.5,0.9406869411468506,0.9707602262496948,0,0,800,800
58,3573,0,710,87,89,12.5,787.5,0.9404075145721436,0.9683195352554321,0,0,800,800
59,1332,91,0,142,22,112.5,12.5,0.9396885633468628,0.9696296453475952,0,0,800,800
60,2362,728,716,71,61,737.5,737.5,0.9378414750099182,0.9515327215194702,0,0,800,800
61,207,210,85,18,12,212.5,87.5,0.9374915361404419,0.9672897458076477,0,0,800,800
62,72,530,457,8,9,537.5,462.5,0.9362539052963257,0.9863013625144958,0,0,800,800
63,114,307,302,12,12,312.5,312.5,0.9357049465179443,0.9912280440330505,0,0,800,800
64,131,462,689,16,8,462.5,687.5,0.9350978136062622,1.0,0,0,800,800
65,2565,731,0,68,56,762.5,12.5,0.9335077404975891,0.958507776260376,0,0,800,800
66,275,469,264,23,27,487.5,287.5,0.9333312511444092,0.9783393740653992,0,0,800,800
67,2263,475,651,95,96,537.5,662.5,0.9331638813018799,0.9635099768638611,0,0,800,800
68,138,358,558,8,16,362.5,562.5,0.9325453639030457,0.978723406791687,0,0,800,800
69,536,637,761,28,27,637.5,762.5,0.9323405027389526,0.96875,0,0,800,800
70,5646,0,80,40,192,12.5,237.5,0.9322401881217957,0.9657272100448608,0,0,800,800
71,699,538,593,43,19,562.5,612.5,0.9321649074554443,0.9746835231781006,0,0,800,800
72,3001,353,598,61,70,412.5,637.5,0.9320041537284851,0.9618395566940308,0,0,800,800
73,2233,0,757,87,42,12.5,762.5,0.9318230152130127,0.9511982798576355,0,0,800,800
74,626,630,787,61,12,662.5,787.5,0.9315917491912842,0.9795597195625305,0,0,800,800
75,560,522,650,48,29,537.5,662.5,0.9306765198707581,0.9630931615829468,0,0,800,800
76,247,418,153,20,17,437.5,162.5,0.9305870532989502,0.9760000109672546,0,0,800,800
77,4320,581,164,96,70,587.5,212.5,0.9304476976394653,0.9602543711662292,0,0,800,800
78,202,770,338,20,10,787.5,337.5,0.930410623550415,0.9901477694511414,0,0,800,800
