id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,9013,405,0,133,118,512.5,12.5,1.0003063678741455,0.9860942363739014,0,0,800,800
1,34824,123,460,181,339,187.5,687.5,0.9935839176177979,0.9723967909812927,0,0,800,800
2,13238,697,511,102,152,712.5,612.5,0.9931496977806091,0.9907442331314087,0,0,800,800
3,6097,547,572,109,79,637.5,612.5,0.985763430595398,0.98502117395401,0,0,800,800
4,10370,370,685,147,114,412.5,712.5,0.9841169118881226,0.9847861528396606,0,0,800,800
5,3092,272,32,74,67,312.5,37.5,0.983022153377533,0.9820627570152283,0,0,800,800
6,1259,0,0,59,41,12.5,12.5,0.9813485741615295,0.9897152185440063,0,0,800,800
7,3882,88,0,70,70,137.5,62.5,0.9811899065971375,0.9808722138404846,0,0,800,800
8,797,769,260,30,32,787.5,287.5,0.9798417687416077,0.9887640476226807,0,0,800,800
9,605,157,783,43,16,187.5,787.5,0.9776127934455872,0.9692058563232422,0,0,800,800
10,1010,46,388,35,51,62.5,387.5,0.9713834524154663,0.9871920943260193,0,0,800,800
11,2960,0,538,52,89,37.5,612.5,0.971376895904541,0.984265148639679,0,0,800,800
12,1201,297,397,50,49,337.5,412.5,0.9673126935958862,0.9762684106826782,0,0,800,800
13,10413,348,553,166,117,437.5,662.5,0.9653783440589905,0.9786304235458374,0,0,800,800
14,105374,408,0,391,411,587.5,337.5,0.9647434949874878,0.9628830552101135,0,0,800,800
15,727,155,415,33,28,162.5,437.5,0.9643047451972961,0.9890561103820801,0,0,800,800
16,35177,123,460,379,339,237.5,787.5,0.9632689952850342,0.9608229994773865,0,0,800,800
17,3257,317,629,74,76,362.5,687.5,0.9628583788871765,0.9786715507507324,0,0,800,800
18,1907,527,709,91,47,562.5,712.5,0.9620007276535034,0.9767200946807861,0,0,800,800
19,14109,317,553,337,152,362.5,687.5,0.9617995023727417,0.9544384479522705,0,0,800,800
20,428,0,511,19,25,12.5,512.5,0.9605803489685059,0.9860788583755493,0,0,800,800
21,994,34,457,28,43,37.5,487.5,0.9604406356811523,0.9752230048179626,0,0,800,800
22,13786,317,554,197,151,437.5,662.5,0.9604223966598511,0.9761067628860474,0,0,800,800
23,1212,657,737,49,44,687.5,762.5,0.9585322737693787,0.9682151675224304,0,0,800,800
24,13817,139,553,375,152,487.5,662.5,0.957350492477417,0.973411500453949,0,0,800,800
25,928,100,266,55,24,137.5,287.5,0.9573229551315308,0.9776119589805603,0,0,800,800
26,8928,0,708,161,91,87.5,762.5,0.9572618007659912,0.9525219202041626,0,0,800,800
27,1228,100,266,63,44,137.5,287.5,0.955520510673523,0.9615692496299744,0,0,800,800
28,7270,558,725,241,74,737.5,737.5,0.9545131921768188,0.9641606211662292,0,0,800,800
29,681,34,221,43,31,62.5,237.5,0.9530850052833557,0.972423791885376,0,0,800,800
30,39689,558,0,241,252,737.5,112.5,0.9527103900909424,0.9612408876419067,0,0,800,800
31,853,204,174,39,37,212.5,187.5,0.9513810873031616,0.9687137603759766,0,0,800,800
32,263,434,355,25,11,437.5,362.5,0.9510886073112488,0.9887217879295349,0,0,800,800
33,385,385,83,32,19,412.5,87.5,0.9505671262741089,0.9716494679450989,0,0,800,800
34,283,309,131,13,26,312.5,137.5,0.9496279954910278,0.9860140085220337,0,0,800,800
35,510,712,0,37,19,737.5,12.5,0.9493259787559509,0.9520153403282166,0,0,800,800
36,366,0,629,18,30,12.5,637.5,0.948297917842865,0.989130437374115,0,0,800,800
37,185,376,208,15,13,387.5,212.5,0.9477561712265015,0.9734042286872864,0,0,800,800
38,512,365,444,26,23,387.5,462.5,0.9476447701454163,0.9922178983688354,0,0,800,800
39,39738,426,0,373,252,737.5,137.5,0.9471538066864014,0.9557556509971619,0,0,800,800
40,1350,154,84,65,27,187.5,87.5,0.9469040632247925,0.9692307710647583,0,0,800,800
41,496,417,296,30,31,437.5,312.5,0.946845531463623,0.974155068397522,0,0,800,800
42,19307,548,511,251,153,787.5,637.5,0.9459326267242432,0.9613973498344421,0,0,800,800
43,15318,711,0,88,252,737.5,112.5,0.9457924962043762,0.9659863710403442,0,0,800,800
44,1940,249,414,52,52,287.5,462.5,0.9453541040420532,0.970992386341095,0,0,800,800
45,530,246,172,37,25,262.5,187.5,0.9441534876823425,0.9740259647369385,0,0,800,800
46,207,76,426,13,18,87.5,437.5,0.9438116550445557,0.9855769276618958,0,0,800,800
47,335,479,589,19,20,487.5,587.5,0.9432976841926575,0.976331353187561,0,0,800,800
48,153,683,528,14,13,687.5,537.5,0.9432456493377686,0.9870129823684692,0,0,800,800
49,149,504,605,13,13,512.5,612.5,0.9424831867218018,0.9932885766029358,0,0,800,800
50,185,360,153,12,18,362.5,162.5,0.9422340393066406,0.9945945739746094,0,0,800,800
51,496,539,668,26,22,562.5,687.5,0.9421793818473816,0.974103569984436,0,0,800,800
52,773,22,620,49,40,37.5,637.5,0.9416269063949585,0.97826087474823,0,0,800,800
53,135,358,511,14,10,362.5,512.5,0.9416056871414185,0.956204354763031,0,0,800,800
54,535,657,239,32,24,662.5,262.5,0.9412296414375305,0.9652014374732971,0,0,800,800
55,73,508,683,8,9,512.5,687.5,0.9401595592498779,0.9729729890823364,0,0,800,800
56,363,389,181,29,16,412.5,187.5,0.9398719072341919,0.9863760471343994,0,0,800,800
57,1516,621,630,31,80,637.5,637.5,0.9380870461463928,0.9587628841400146,0,0,800,800
58,7383,501,0,109,135,537.5,87.5,0.9376851320266724,0.967208743095398,0,0,800,800
59,116,89,611,12,11,87.5,612.5,0.9371861219406128,0.9830508232116699,0,0,800,800
60,76,433,383,8,8,437.5,387.5,0.9368401765823364,0.9868420958518982,0,0,800,800
61,19429,345,511,454,288,787.5,612.5,0.9364981651306152,0.9524829387664795,0,0,800,800
62,233,516,659,25,16,537.5,662.5,0.936447262763977,0.9914529919624329,0,0,800,800
63,2474,401,684,101,57,412.5,712.5,0.9358976483345032,0.95961993932724,0,0,800,800
64,600,481,748,46,27,487.5,762.5,0.9343534708023071,0.9867768883705139,0,0,800,800
65,275,152,520,22,24,162.5,537.5,0.9343521595001221,0.9715302586555481,0,0,800,800
66,141,411,202,14,11,412.5,212.5,0.9334779977798462,0.9858155846595764,0,0,800,800
67,493,410,574,29,22,437.5,587.5,0.9333799481391907,0.9759519100189209,0,0,800,800
68,2504,407,765,110,34,437.5,787.5,0.9328820705413818,0.9627450704574585,0,0,800,800
69,160,76,364,14,16,87.5,362.5,0.9321982264518738,0.987500011920929,0,0,800,800
70,175,288,252,18,13,287.5,262.5,0.9319326281547546,0.983146071434021,0,0,800,800
71,536,657,464,24,33,662.5,487.5,0.9312872290611267,0.975970447063446,0,0,800,800
72,726,441,103,55,35,462.5,112.5,0.9291258454322815,0.9890260696411133,0,0,800,800
73,1419,217,141,66,56,262.5,187.5,0.9289188385009766,0.9551724195480347,0,0,800,800
74,330,672,578,18,35,687.5,612.5,0.9277416467666626,0.9789789915084839,0,0,800,800
75,569,729,710,34,31,737.5,712.5,0.9271217584609985,0.9791666865348816,0,0,800,800
76,1256,716,489,72,42,737.5,512.5,0.9271044135093689,0.9570983052253723,0,0,800,800
77,429,65,708,22,26,87.5,712.5,0.9267570972442627,0.981566846370697,0,0,800,800
78,192,82,383,14,16,87.5,387.5,0.9264976382255554,0.9792746305465698,0,0,800,800
