id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,3235,199,221,81,57,262.5,237.5,0.9911910891532898,0.984370231628418,0,0,800,800
1,7309,498,539,119,105,587.5,587.5,0.989940881729126,0.9669767022132874,0,0,800,800
2,7303,408,539,208,105,587.5,612.5,0.9854090809822083,0.9581997990608215,0,0,800,800
3,41738,548,0,243,213,637.5,87.5,0.98505699634552,0.9853689670562744,0,0,800,800
4,2653,747,412,52,92,762.5,487.5,0.9813528656959534,0.9779686331748962,0,0,800,800
5,16662,0,302,130,210,87.5,462.5,0.9803059101104736,0.9865283966064453,0,0,800,800
6,1052,0,73,26,55,12.5,112.5,0.9793424010276794,0.9924242496490479,0,0,800,800
7,3220,78,631,63,80,137.5,662.5,0.9771799445152283,0.9790833592414856,0,0,800,800
8,5206,549,763,212,36,687.5,787.5,0.974800705909729,0.9818875193595886,0,0,800,800
9,3529,635,682,71,88,687.5,762.5,0.9744184017181396,0.9653547406196594,0,0,800,800
10,42685,350,0,442,213,762.5,137.5,0.9740990400314331,0.967460572719574,0,0,800,800
11,53272,362,347,332,299,487.5,437.5,0.9732511043548584,0.9586546421051025,0,0,800,800
12,3735,310,206,75,77,337.5,262.5,0.9731866121292114,0.9681159257888794,0,0,800,800
13,758,259,665,38,22,287.5,687.5,0.9726470112800598,0.993446946144104,0,0,800,800
14,1361,740,758,54,41,762.5,787.5,0.9713091254234314,0.9832239151000977,0,0,800,800
15,848,209,343,36,29,212.5,362.5,0.9692208766937256,0.9812646508216858,0,0,800,800
16,653,97,440,34,26,112.5,462.5,0.9658855199813843,0.9863013625144958,0,0,800,800
17,3650,521,222,92,55,612.5,262.5,0.965724766254425,0.9613023996353149,0,0,800,800
18,1308,391,308,40,41,412.5,312.5,0.9644293785095215,0.9690799117088318,0,0,800,800
19,631,41,602,23,41,62.5,637.5,0.958336353302002,0.9858712553977966,0,0,800,800
20,570,768,188,31,27,787.5,212.5,0.9579899907112122,0.9791304469108582,0,0,800,800
21,10602,560,458,134,139,637.5,537.5,0.9546685814857483,0.968971312046051,0,0,800,800
22,793,273,554,57,36,287.5,587.5,0.9542559385299683,0.9738480448722839,0,0,800,800
23,388,0,701,16,30,12.5,712.5,0.9533737301826477,0.9769230484962463,0,0,800,800
24,385,219,609,18,35,237.5,612.5,0.9525858163833618,0.9844961166381836,0,0,800,800
25,2297,549,763,74,36,612.5,787.5,0.9516514539718628,0.975944995880127,0,0,800,800
26,454,174,384,27,28,187.5,387.5,0.9511734843254089,0.9847161769866943,0,0,800,800
27,696,657,223,19,63,662.5,237.5,0.9509345293045044,0.9689265489578247,0,0,800,800
28,209,312,733,13,19,312.5,737.5,0.9501550197601318,1.0,0,0,800,800
29,226,187,609,18,16,187.5,612.5,0.9492568969726562,0.9955752491950989,0,0,800,800
